phase,pc,lag_ms,src,dst
FirstDigitTouch__BothStartLoadPhase,pc2,50,O2,Oz
HandStart__FirstDigitTouch,pc1,100,PO9,Oz
HandStart__FirstDigitTouch,pc1,150,PO10,Oz
HandStart__FirstDigitTouch,pc1,200,PO10,Oz
HandStart__FirstDigitTouch,pc2,50,Oz,O2
HandStart__FirstDigitTouch,pc2,200,O1,Oz
LiftOff__Replace,pc1,50,PO10,O2
LiftOff__Replace,pc1,100,PO10,Oz
LiftOff__Replace,pc1,100,PO9,Oz
LiftOff__Replace,pc1,200,PO10,Oz
LiftOff__Replace,pc2,50,O2,Oz
LiftOff__Replace,pc2,50,Oz,O2
LiftOff__Replace,pc2,200,O2,PO10
Replace__BothReleased,pc2,150,O2,Oz
Replace__BothReleased,pc2,200,O2,Oz
Replace__BothReleased,pc2,200,Oz,O2
BothStartLoadPhase__LiftOff,pc2,150,O2,Oz
BothStartLoadPhase__LiftOff,pc2,150,O2,PO10
LiftOff__Replace,pc1,50,PO10,Oz
BothStartLoadPhase__LiftOff,pc2,50,Oz,O2
FirstDigitTouch__BothStartLoadPhase,pc2,50,Oz,O2
HandStart__FirstDigitTouch,pc1,100,PO10,Oz
HandStart__FirstDigitTouch,pc2,50,Oz,O1
HandStart__FirstDigitTouch,pc2,100,Oz,O1
HandStart__FirstDigitTouch,pc2,100,Oz,O2
HandStart__FirstDigitTouch,pc2,150,O1,Oz
HandStart__FirstDigitTouch,pc2,150,O2,PO10
HandStart__FirstDigitTouch,pc2,150,Oz,O1
HandStart__FirstDigitTouch,pc2,150,Oz,O2
HandStart__FirstDigitTouch,pc2,200,O2,PO10
HandStart__FirstDigitTouch,pc2,200,Oz,O1
LiftOff__Replace,pc1,200,PO10,P8
LiftOff__Replace,pc2,50,O1,Oz
LiftOff__Replace,pc2,50,O2,PO10
LiftOff__Replace,pc2,50,Oz,O1
LiftOff__Replace,pc2,100,O1,Oz
LiftOff__Replace,pc2,100,O2,Oz
LiftOff__Replace,pc2,100,Oz,O1
LiftOff__Replace,pc2,100,Oz,O2
LiftOff__Replace,pc2,150,O1,Oz
LiftOff__Replace,pc2,150,O1,PO9
LiftOff__Replace,pc2,200,O1,Oz
LiftOff__Replace,pc2,200,O1,PO9
LiftOff__Replace,pc2,200,O2,Oz
LiftOff__Replace,pc2,200,Oz,O1
Replace__BothReleased,pc1,200,PO10,O2
Replace__BothReleased,pc2,150,O1,Oz
Replace__BothReleased,pc2,150,O1,PO9
Replace__BothReleased,pc2,150,Oz,O2
Replace__BothReleased,pc2,200,O1,Oz
Replace__BothReleased,pc2,200,O1,PO9
Replace__BothReleased,pc2,200,O2,PO10
BothStartLoadPhase__LiftOff,pc1,150,PO10,Oz
FirstDigitTouch__BothStartLoadPhase,pc2,150,O2,Oz
FirstDigitTouch__BothStartLoadPhase,pc2,200,O2,Oz
HandStart__FirstDigitTouch,pc1,50,PO10,Oz
Replace__BothReleased,pc2,150,O2,PO10
BothStartLoadPhase__LiftOff,pc1,150,PO9,Oz
BothStartLoadPhase__LiftOff,pc2,50,O2,PO10
BothStartLoadPhase__LiftOff,pc2,200,O2,PO10
LiftOff__Replace,pc1,50,PO9,Oz
Replace__BothReleased,pc1,200,PO9,O1
Replace__BothReleased,pc1,150,PO9,O1
BothStartLoadPhase__LiftOff,pc1,200,PO10,P8
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO9,Oz
HandStart__FirstDigitTouch,pc1,200,PO10,P8
HandStart__FirstDigitTouch,pc2,100,O1,Oz
LiftOff__Replace,pc2,100,O2,PO10
Replace__BothReleased,pc2,200,Oz,O1
BothStartLoadPhase__LiftOff,pc1,200,PO9,Oz
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO10,Oz
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO9,Oz
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO10,P8
FirstDigitTouch__BothStartLoadPhase,pc2,200,O1,Oz
FirstDigitTouch__BothStartLoadPhase,pc2,200,O2,PO10
HandStart__FirstDigitTouch,pc1,50,PO9,Oz
HandStart__FirstDigitTouch,pc2,50,O1,PO9
HandStart__FirstDigitTouch,pc2,50,O2,PO10
HandStart__FirstDigitTouch,pc2,150,O1,PO9
HandStart__FirstDigitTouch,pc2,200,O1,PO9
LiftOff__Replace,pc1,150,PO10,P8
LiftOff__Replace,pc2,50,O1,PO9
LiftOff__Replace,pc2,100,O1,PO9
LiftOff__Replace,pc3,200,P4,P8
BothStartLoadPhase__LiftOff,pc2,150,O1,PO9
LiftOff__Replace,pc3,50,O1,FC1
BothStartLoadPhase__LiftOff,pc1,100,PO9,Oz
BothStartLoadPhase__LiftOff,pc1,200,PO10,Oz
BothStartLoadPhase__LiftOff,pc2,200,O1,Oz
BothStartLoadPhase__LiftOff,pc2,200,Oz,O2
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO10,Oz
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO10,Oz
FirstDigitTouch__BothStartLoadPhase,pc2,200,Oz,O2
Replace__BothReleased,pc1,150,PO10,O2
FirstDigitTouch__BothStartLoadPhase,pc2,150,O2,PO10
Replace__BothReleased,pc1,100,PO10,O2
Replace__BothReleased,pc1,100,PO9,O1
BothStartLoadPhase__LiftOff,pc1,50,PO10,Oz
BothStartLoadPhase__LiftOff,pc1,100,PO10,Oz
BothStartLoadPhase__LiftOff,pc2,50,O1,PO9
BothStartLoadPhase__LiftOff,pc2,50,Oz,O1
BothStartLoadPhase__LiftOff,pc2,100,O2,PO10
BothStartLoadPhase__LiftOff,pc2,200,O1,PO9
FirstDigitTouch__BothStartLoadPhase,pc2,50,O1,PO9
FirstDigitTouch__BothStartLoadPhase,pc2,150,Oz,O2
HandStart__FirstDigitTouch,pc3,50,O2,Cz
LiftOff__Replace,pc3,150,P4,P8
BothStartLoadPhase__LiftOff,pc1,150,PO10,P8
BothStartLoadPhase__LiftOff,pc2,200,Oz,O1
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO10,Oz
FirstDigitTouch__BothStartLoadPhase,pc2,50,O2,PO10
FirstDigitTouch__BothStartLoadPhase,pc2,200,O1,PO9
HandStart__FirstDigitTouch,pc2,100,O1,PO9
HandStart__FirstDigitTouch,pc2,100,O2,Oz
LiftOff__Replace,pc3,200,P4,CP6
LiftOff__Replace,pc3,200,P7,O1
Replace__BothReleased,pc1,50,PO10,O2
Replace__BothReleased,pc2,0,O2,Oz
Replace__BothReleased,pc2,0,Oz,O1
Replace__BothReleased,pc2,100,O1,Oz
BothStartLoadPhase__LiftOff,pc2,0,O1,PO9
BothStartLoadPhase__LiftOff,pc2,0,O2,Oz
BothStartLoadPhase__LiftOff,pc2,100,O2,Oz
BothStartLoadPhase__LiftOff,pc2,150,Oz,O2
BothStartLoadPhase__LiftOff,pc3,100,CP6,C4
FirstDigitTouch__BothStartLoadPhase,pc2,0,O2,Oz
FirstDigitTouch__BothStartLoadPhase,pc2,100,O2,Oz
FirstDigitTouch__BothStartLoadPhase,pc2,150,O1,Oz
HandStart__FirstDigitTouch,pc2,100,O2,PO10
LiftOff__Replace,pc1,50,PO10,P8
LiftOff__Replace,pc3,50,C4,FC2
LiftOff__Replace,pc3,150,CP6,P8
LiftOff__Replace,pc3,200,CP6,C4
Replace__BothReleased,pc2,0,Oz,O2
Replace__BothReleased,pc2,50,O2,Oz
Replace__BothReleased,pc2,100,O1,PO9
BothStartLoadPhase__LiftOff,pc2,100,O1,PO9
BothStartLoadPhase__LiftOff,pc2,100,Oz,O2
HandStart__FirstDigitTouch,pc2,0,O2,Oz
BothStartLoadPhase__LiftOff,pc2,150,O1,Oz
FirstDigitTouch__BothStartLoadPhase,pc1,0,PO9,O1
LiftOff__Replace,pc1,0,PO9,O1
Replace__BothReleased,pc1,0,PO9,O1
BothStartLoadPhase__LiftOff,pc1,0,PO9,O1
HandStart__FirstDigitTouch,pc1,0,PO9,O1
BothStartLoadPhase__LiftOff,pc2,0,Oz,O2
FirstDigitTouch__BothStartLoadPhase,pc2,150,O1,PO9
HandStart__FirstDigitTouch,pc1,0,PO10,P8
HandStart__FirstDigitTouch,pc1,150,PO10,P8
HandStart__FirstDigitTouch,pc3,50,O1,FC1
LiftOff__Replace,pc3,100,P7,O1
LiftOff__Replace,pc3,150,P7,O1
LiftOff__Replace,pc3,150,P8,O2
Replace__BothReleased,pc1,200,PO9,Oz
Replace__BothReleased,pc2,50,O1,PO9
Replace__BothReleased,pc2,100,Oz,O2
BothStartLoadPhase__LiftOff,pc2,0,O1,Oz
BothStartLoadPhase__LiftOff,pc2,0,Oz,O1
BothStartLoadPhase__LiftOff,pc2,100,O1,Oz
BothStartLoadPhase__LiftOff,pc3,150,P4,P8
BothStartLoadPhase__LiftOff,pc3,200,P4,P8
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO10,P8
FirstDigitTouch__BothStartLoadPhase,pc2,0,O1,Oz
FirstDigitTouch__BothStartLoadPhase,pc2,100,O1,PO9
FirstDigitTouch__BothStartLoadPhase,pc2,100,O2,PO10
FirstDigitTouch__BothStartLoadPhase,pc3,100,CP6,C4
LiftOff__Replace,pc2,0,O1,Oz
LiftOff__Replace,pc2,0,Oz,O1
Replace__BothReleased,pc2,50,O1,Oz
BothStartLoadPhase__LiftOff,pc1,0,PO10,P8
FirstDigitTouch__BothStartLoadPhase,pc1,0,PO10,P8
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO9,Oz
FirstDigitTouch__BothStartLoadPhase,pc2,0,Oz,O2
FirstDigitTouch__BothStartLoadPhase,pc2,100,Oz,O2
HandStart__FirstDigitTouch,pc1,50,PO10,P8
HandStart__FirstDigitTouch,pc3,200,P4,CP6
LiftOff__Replace,pc3,100,P4,CP6
Replace__BothReleased,pc1,50,PO9,O1
Replace__BothReleased,pc2,50,O2,PO10
HandStart__FirstDigitTouch,pc3,200,P7,O1
LiftOff__Replace,pc3,100,P4,P8
Replace__BothReleased,pc1,0,PO10,O2
Replace__BothReleased,pc1,100,PO9,Oz
Replace__BothReleased,pc1,150,PO10,Oz
Replace__BothReleased,pc1,150,PO9,Oz
Replace__BothReleased,pc1,200,PO10,Oz
Replace__BothReleased,pc2,0,O2,PO10
Replace__BothReleased,pc2,100,O2,Oz
Replace__BothReleased,pc2,100,Oz,O1
FirstDigitTouch__BothStartLoadPhase,pc3,50,C4,FC2
FirstDigitTouch__BothStartLoadPhase,pc3,150,P4,P8
Replace__BothReleased,pc2,100,O2,PO10
Replace__BothReleased,pc3,100,Fp2,Fp1
BothStartLoadPhase__LiftOff,pc1,100,PO10,P8
BothStartLoadPhase__LiftOff,pc2,50,O1,Oz
BothStartLoadPhase__LiftOff,pc3,50,C4,FC2
BothStartLoadPhase__LiftOff,pc3,200,CP6,C4
FirstDigitTouch__BothStartLoadPhase,pc2,50,O1,Oz
FirstDigitTouch__BothStartLoadPhase,pc3,50,P4,P8
FirstDigitTouch__BothStartLoadPhase,pc3,200,P4,P8
HandStart__FirstDigitTouch,pc2,0,Oz,O2
HandStart__FirstDigitTouch,pc3,100,CP6,C4
LiftOff__Replace,pc2,0,Oz,O2
Replace__BothReleased,pc1,0,PO10,P8
Replace__BothReleased,pc2,0,O1,Oz
BothStartLoadPhase__LiftOff,pc2,0,O2,PO10
FirstDigitTouch__BothStartLoadPhase,pc2,0,O2,PO10
HandStart__FirstDigitTouch,pc2,0,O2,PO10
HandStart__FirstDigitTouch,pc3,150,P4,P8
LiftOff__Replace,pc1,0,PO9,Oz
Replace__BothReleased,pc3,200,P7,O1
BothStartLoadPhase__LiftOff,pc3,50,O2,C3
BothStartLoadPhase__LiftOff,pc3,50,P4,P8
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO10,P8
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO10,P8
FirstDigitTouch__BothStartLoadPhase,pc2,0,O1,PO9
FirstDigitTouch__BothStartLoadPhase,pc2,0,Oz,O1
FirstDigitTouch__BothStartLoadPhase,pc3,50,O2,C3
HandStart__FirstDigitTouch,pc2,0,O1,Oz
HandStart__FirstDigitTouch,pc3,200,P4,P8
LiftOff__Replace,pc2,0,O1,PO9
Replace__BothReleased,pc2,50,Oz,O2
BothStartLoadPhase__LiftOff,pc1,0,PO10,O2
BothStartLoadPhase__LiftOff,pc1,50,PO9,Oz
FirstDigitTouch__BothStartLoadPhase,pc1,0,PO10,O2
FirstDigitTouch__BothStartLoadPhase,pc3,200,CP6,C4
HandStart__FirstDigitTouch,pc1,0,PO10,O2
HandStart__FirstDigitTouch,pc2,0,O1,PO9
LiftOff__Replace,pc3,50,P8,PO10
BothStartLoadPhase__LiftOff,pc1,0,PO9,Oz
BothStartLoadPhase__LiftOff,pc3,50,P8,PO10
FirstDigitTouch__BothStartLoadPhase,pc1,0,PO9,Oz
HandStart__FirstDigitTouch,pc3,100,P4,CP6
LiftOff__Replace,pc1,0,PO9,P7
Replace__BothReleased,pc3,50,Fp2,Fp1
HandStart__FirstDigitTouch,pc3,50,P4,P8
LiftOff__Replace,pc2,0,O2,PO10
BothStartLoadPhase__LiftOff,pc1,0,PO9,P7
FirstDigitTouch__BothStartLoadPhase,pc1,0,PO9,P7
LiftOff__Replace,pc3,100,CP6,C4
Replace__BothReleased,pc1,0,PO10,Oz
Replace__BothReleased,pc3,150,P4,P8
LiftOff__Replace,pc2,0,P7,CP5
LiftOff__Replace,pc3,0,CP6,C4
Replace__BothReleased,pc1,50,PO9,Oz
FirstDigitTouch__BothStartLoadPhase,pc1,0,PO10,Oz
FirstDigitTouch__BothStartLoadPhase,pc3,100,P4,CP6
HandStart__FirstDigitTouch,pc1,0,PO9,Oz
HandStart__FirstDigitTouch,pc1,0,PO9,P7
LiftOff__Replace,pc1,0,PO10,O2
Replace__BothReleased,pc2,0,O1,PO9
FirstDigitTouch__BothStartLoadPhase,pc3,50,P8,PO10
Replace__BothReleased,pc3,150,P7,O1
BothStartLoadPhase__LiftOff,pc3,0,P7,O1
FirstDigitTouch__BothStartLoadPhase,pc3,0,P7,O1
LiftOff__Replace,pc2,150,Oz,O1
FirstDigitTouch__BothStartLoadPhase,pc2,200,Oz,O1
LiftOff__Replace,pc2,50,Oz,PO10
FirstDigitTouch__BothStartLoadPhase,pc2,50,Oz,O1
HandStart__FirstDigitTouch,pc2,50,O1,Oz
LiftOff__Replace,pc3,50,P4,P8
FirstDigitTouch__BothStartLoadPhase,pc2,100,Oz,O1
BothStartLoadPhase__LiftOff,pc2,150,Oz,O1
HandStart__FirstDigitTouch,pc3,150,O1,FC1
LiftOff__Replace,pc2,0,O2,Oz
LiftOff__Replace,pc3,50,O2,Cz
FirstDigitTouch__BothStartLoadPhase,pc2,100,O1,Oz
HandStart__FirstDigitTouch,pc1,100,PO10,P8
LiftOff__Replace,pc3,100,CP6,P8
Replace__BothReleased,pc1,100,PO10,Oz
BothStartLoadPhase__LiftOff,pc1,50,PO10,P8
HandStart__FirstDigitTouch,pc3,50,O2,C3
HandStart__FirstDigitTouch,pc3,150,P3,P7
LiftOff__Replace,pc3,50,O2,C3
LiftOff__Replace,pc3,150,P4,CP6
Replace__BothReleased,pc3,200,P4,P8
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO10,Fz
LiftOff__Replace,pc1,0,PO10,P8
LiftOff__Replace,pc3,200,O1,FC1
LiftOff__Replace,pc3,50,P7,O1
Replace__BothReleased,pc3,0,P8,PO10
Replace__BothReleased,pc3,50,C4,FC2
HandStart__FirstDigitTouch,pc2,0,Oz,O1
LiftOff__Replace,pc3,200,CP6,P8
Replace__BothReleased,pc3,100,P7,O1
BothStartLoadPhase__LiftOff,pc3,100,P4,CP6
HandStart__FirstDigitTouch,pc1,0,PO10,Oz
LiftOff__Replace,pc3,100,C4,CP2
Replace__BothReleased,pc3,0,P8,O2
BothStartLoadPhase__LiftOff,pc1,0,PO10,Oz
BothStartLoadPhase__LiftOff,pc3,50,C4,CP2
BothStartLoadPhase__LiftOff,pc3,150,P8,PO10
FirstDigitTouch__BothStartLoadPhase,pc3,50,C4,CP2
HandStart__FirstDigitTouch,pc3,50,P8,PO10
HandStart__FirstDigitTouch,pc3,100,Fp1,PO10
HandStart__FirstDigitTouch,pc3,200,C4,FC2
Replace__BothReleased,pc1,50,Fp2,Fp1
Replace__BothReleased,pc2,0,Oz,PO10
Replace__BothReleased,pc2,50,Fp1,FC5
Replace__BothReleased,pc3,0,CP6,P8
Replace__BothReleased,pc3,0,P4,P8
BothStartLoadPhase__LiftOff,pc3,200,O2,C3
FirstDigitTouch__BothStartLoadPhase,pc3,200,P7,O1
LiftOff__Replace,pc2,0,P8,CP6
LiftOff__Replace,pc3,0,CP6,P8
LiftOff__Replace,pc3,50,FC6,F4
Replace__BothReleased,pc1,0,PO9,P7
Replace__BothReleased,pc3,0,P7,O1
BothStartLoadPhase__LiftOff,pc2,0,P7,CP5
BothStartLoadPhase__LiftOff,pc3,200,P7,O1
FirstDigitTouch__BothStartLoadPhase,pc2,0,P7,CP5
LiftOff__Replace,pc2,0,PO10,O2
Replace__BothReleased,pc3,150,Fp2,Fp1
LiftOff__Replace,pc1,150,PO9,P7
LiftOff__Replace,pc3,200,C4,FC2
BothStartLoadPhase__LiftOff,pc2,100,Oz,O1
LiftOff__Replace,pc1,100,PO10,P8
BothStartLoadPhase__LiftOff,pc3,50,O1,FC1
HandStart__FirstDigitTouch,pc3,150,P8,O2
BothStartLoadPhase__LiftOff,pc3,150,CP6,P8
FirstDigitTouch__BothStartLoadPhase,pc3,50,O1,FC1
HandStart__FirstDigitTouch,pc1,50,PO10,FC1
HandStart__FirstDigitTouch,pc3,0,P4,P8
HandStart__FirstDigitTouch,pc3,150,P7,O1
HandStart__FirstDigitTouch,pc3,200,CP6,P8
LiftOff__Replace,pc3,150,FC6,F4
BothStartLoadPhase__LiftOff,pc3,200,P4,CP6
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO9,P7
FirstDigitTouch__BothStartLoadPhase,pc3,0,P4,P8
HandStart__FirstDigitTouch,pc1,50,PO10,Fz
LiftOff__Replace,pc1,100,PO9,P7
BothStartLoadPhase__LiftOff,pc3,0,P4,P8
FirstDigitTouch__BothStartLoadPhase,pc3,150,O2,C3
HandStart__FirstDigitTouch,pc3,200,CP6,C4
Replace__BothReleased,pc1,0,Fp1,Fp2
FirstDigitTouch__BothStartLoadPhase,pc3,50,O2,Cz
FirstDigitTouch__BothStartLoadPhase,pc3,200,P4,CP6
HandStart__FirstDigitTouch,pc3,50,C4,FC2
HandStart__FirstDigitTouch,pc3,100,P7,O1
HandStart__FirstDigitTouch,pc3,150,CP6,P8
Replace__BothReleased,pc1,50,PO10,Oz
Replace__BothReleased,pc1,200,PO10,P8
BothStartLoadPhase__LiftOff,pc3,100,CP6,P8
BothStartLoadPhase__LiftOff,pc3,100,P4,P8
BothStartLoadPhase__LiftOff,pc3,150,O2,C3
FirstDigitTouch__BothStartLoadPhase,pc3,100,C4,FC2
HandStart__FirstDigitTouch,pc1,0,O1,PO9
HandStart__FirstDigitTouch,pc3,50,P3,P7
HandStart__FirstDigitTouch,pc3,100,P4,P8
HandStart__FirstDigitTouch,pc3,200,O1,FC1
LiftOff__Replace,pc3,0,P4,P8
LiftOff__Replace,pc3,100,C4,FC2
LiftOff__Replace,pc3,150,O2,C3
LiftOff__Replace,pc3,200,P3,P7
LiftOff__Replace,pc3,200,P8,O2
Replace__BothReleased,pc1,200,PO9,P7
Replace__BothReleased,pc2,50,Oz,O1
Replace__BothReleased,pc1,0,PO9,Oz
Replace__BothReleased,pc3,0,CP6,C4
LiftOff__Replace,pc2,150,Oz,PO10
LiftOff__Replace,pc1,200,PO9,P7
LiftOff__Replace,pc2,200,Oz,PO9
LiftOff__Replace,pc3,150,P8,PO10
LiftOff__Replace,pc2,150,Oz,PO9
LiftOff__Replace,pc2,200,Oz,PO10
FirstDigitTouch__BothStartLoadPhase,pc2,150,Oz,O1
Replace__BothReleased,pc2,150,Oz,O1
LiftOff__Replace,pc1,50,PO9,P7
LiftOff__Replace,pc2,150,O1,O2
LiftOff__Replace,pc2,150,O2,O1
LiftOff__Replace,pc2,200,O1,O2
LiftOff__Replace,pc3,200,FC6,F4
LiftOff__Replace,pc2,100,Oz,PO9
Replace__BothReleased,pc2,200,Oz,PO10
HandStart__FirstDigitTouch,pc1,50,PO10,FC2
HandStart__FirstDigitTouch,pc1,150,PO9,P7
HandStart__FirstDigitTouch,pc1,200,PO9,P7
HandStart__FirstDigitTouch,pc2,150,O2,O1
HandStart__FirstDigitTouch,pc2,200,O1,O2
LiftOff__Replace,pc2,50,O1,O2
LiftOff__Replace,pc2,150,O1,P7
LiftOff__Replace,pc2,200,O2,O1
Replace__BothReleased,pc2,200,O1,O2
HandStart__FirstDigitTouch,pc1,200,PO10,Fz
LiftOff__Replace,pc1,50,PO10,Fz
LiftOff__Replace,pc2,50,Oz,PO9
LiftOff__Replace,pc2,100,Oz,PO10
LiftOff__Replace,pc2,100,P7,P3
BothStartLoadPhase__LiftOff,pc1,150,PO10,Fz
BothStartLoadPhase__LiftOff,pc2,50,Oz,PO10
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO10,FC1
FirstDigitTouch__BothStartLoadPhase,pc2,50,Oz,PO10
HandStart__FirstDigitTouch,pc1,50,PO9,P7
HandStart__FirstDigitTouch,pc1,200,PO10,FC1
HandStart__FirstDigitTouch,pc2,150,Oz,PO10
HandStart__FirstDigitTouch,pc2,150,Oz,PO9
HandStart__FirstDigitTouch,pc2,200,Oz,PO10
HandStart__FirstDigitTouch,pc2,200,Oz,PO9
LiftOff__Replace,pc1,100,P7,CP5
LiftOff__Replace,pc1,200,PO10,Fz
LiftOff__Replace,pc3,150,P3,P7
LiftOff__Replace,pc3,200,O2,C3
Replace__BothReleased,pc2,150,O1,O2
Replace__BothReleased,pc2,150,Oz,PO10
BothStartLoadPhase__LiftOff,pc1,50,PO9,P7
BothStartLoadPhase__LiftOff,pc2,150,Oz,PO10
HandStart__FirstDigitTouch,pc2,50,Oz,PO10
LiftOff__Replace,pc1,50,PO10,FC1
LiftOff__Replace,pc2,50,O2,O1
LiftOff__Replace,pc3,150,O1,FC1
BothStartLoadPhase__LiftOff,pc1,50,PO10,Fz
BothStartLoadPhase__LiftOff,pc1,200,PO10,FC1
BothStartLoadPhase__LiftOff,pc3,150,P7,O1
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO10,FC5
FirstDigitTouch__BothStartLoadPhase,pc2,150,Oz,PO10
HandStart__FirstDigitTouch,pc1,150,PO10,Fz
Replace__BothReleased,pc3,200,P8,O2
BothStartLoadPhase__LiftOff,pc3,200,C4,FC2
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO10,FC1
HandStart__FirstDigitTouch,pc3,200,O2,C3
HandStart__FirstDigitTouch,pc3,200,P8,O2
LiftOff__Replace,pc1,50,PO9,FC2
LiftOff__Replace,pc1,50,PO9,Fz
LiftOff__Replace,pc1,100,O1,PO9
BothStartLoadPhase__LiftOff,pc1,200,PO9,P7
BothStartLoadPhase__LiftOff,pc2,150,Oz,PO9
BothStartLoadPhase__LiftOff,pc2,200,Oz,PO10
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO9,P7
FirstDigitTouch__BothStartLoadPhase,pc2,150,O2,P8
HandStart__FirstDigitTouch,pc1,150,PO10,FC2
HandStart__FirstDigitTouch,pc2,0,O2,P8
HandStart__FirstDigitTouch,pc2,100,O1,P3
HandStart__FirstDigitTouch,pc3,150,O2,C3
LiftOff__Replace,pc3,50,CP6,P8
LiftOff__Replace,pc3,50,Fz,PO10
LiftOff__Replace,pc3,50,P4,CP6
Replace__BothReleased,pc1,150,PO10,P8
Replace__BothReleased,pc2,0,O2,O1
Replace__BothReleased,pc2,0,Oz,PO9
Replace__BothReleased,pc3,50,FC6,F4
FirstDigitTouch__BothStartLoadPhase,pc3,150,P8,PO10
HandStart__FirstDigitTouch,pc3,0,O1,FC1
HandStart__FirstDigitTouch,pc3,150,P8,PO10
LiftOff__Replace,pc3,0,P4,CP6
Replace__BothReleased,pc1,0,Fp2,Fp1
BothStartLoadPhase__LiftOff,pc3,0,P4,CP6
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO10,FC5
FirstDigitTouch__BothStartLoadPhase,pc3,0,P4,CP6
HandStart__FirstDigitTouch,pc1,0,T8,FC6
LiftOff__Replace,pc1,0,PO10,Oz
LiftOff__Replace,pc3,50,CP6,C4
HandStart__FirstDigitTouch,pc2,0,Oz,PO10
HandStart__FirstDigitTouch,pc3,50,C4,CP2
Replace__BothReleased,pc3,150,CP6,P8
BothStartLoadPhase__LiftOff,pc1,0,T8,FC6
BothStartLoadPhase__LiftOff,pc3,0,P8,O2
FirstDigitTouch__BothStartLoadPhase,pc1,0,T8,FC6
FirstDigitTouch__BothStartLoadPhase,pc3,150,FC5,FC1
LiftOff__Replace,pc1,0,T8,FC6
Replace__BothReleased,pc1,150,PO9,Fz
Replace__BothReleased,pc2,100,Fp1,FC5
BothStartLoadPhase__LiftOff,pc3,0,O1,FC1
BothStartLoadPhase__LiftOff,pc3,100,C4,FC2
