phase,pc,lag_ms,src,dst,region_src,region_dst,config_count,successful_config_count,stability_fraction,max_k,max_n_subjects,min_p_value,min_q_value,topk_values,min_subjects_values,p0_inflate_values
BothStartLoadPhase__LiftOff,pc3,200,CP6,C4,Parietal,Frontocentral,27,27,1.0,10,12,7.35683912920622e-11,3.1456829380054184e-08,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,50,PO9,Oz,Occipital,Occipital,27,27,1.0,10,12,3.4930855940150567e-10,8.961571317059318e-08,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc3,200,Oz,FC5,Occipital,Frontocentral,27,27,1.0,10,12,3.4930855940150567e-10,8.961571317059318e-08,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc3,50,O1,FC1,Occipital,Frontocentral,27,27,1.0,10,12,3.4930855940150567e-10,8.961571317059318e-08,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc3,100,CP6,C4,Parietal,Frontocentral,27,27,1.0,10,12,3.4930855940150567e-10,8.961571317059318e-08,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,200,P4,CP6,Parietal,Parietal,27,27,1.0,10,12,3.4930855940150567e-10,8.961571317059318e-08,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc1,150,PO10,Oz,Occipital,Occipital,27,27,1.0,10,12,3.4930855940150567e-10,8.961571317059318e-08,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc3,150,P4,P8,Parietal,Parietal,27,27,1.0,9,12,7.35683912920622e-11,3.1456829380054184e-08,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,100,P4,P8,Parietal,Parietal,27,27,1.0,9,12,7.35683912920622e-11,3.1456829380054184e-08,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc1,150,PO9,Oz,Occipital,Occipital,27,27,1.0,9,12,7.35683912920622e-11,3.1456829380054184e-08,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc3,200,P7,O1,Parietal,Occipital,27,27,1.0,9,12,7.35683912920622e-11,3.1456829380054184e-08,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc3,50,P4,P8,Parietal,Parietal,27,27,1.0,9,12,4.0187628235108975e-10,1.1282866191290972e-07,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc1,100,Fp2,Fp1,Frontal,Frontal,27,27,1.0,9,12,4.0187628235108975e-10,1.1282866191290972e-07,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc3,50,P4,P8,Parietal,Parietal,27,27,1.0,9,12,4.5744495591486245e-09,1.628416493783051e-06,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc3,50,C4,FC2,Frontocentral,Frontocentral,27,27,1.0,9,12,4.5744495591486245e-09,1.628416493783051e-06,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc1,100,PO9,Oz,Occipital,Occipital,27,27,1.0,9,12,4.5744495591486245e-09,1.628416493783051e-06,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc3,200,Oz,FC5,Occipital,Frontocentral,27,27,1.0,9,12,1.4375572031334258e-08,2.778032621120179e-06,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,50,P7,O1,Parietal,Occipital,27,27,1.0,9,12,1.4375572031334258e-08,2.778032621120179e-06,5 10 15,3 4 5,5.0 10.0 15.0
