phase,pc,lag_ms,src,dst,region_src,region_dst,distance_cm,short_range,zero_lag,reverse_present,asymmetric,vc_robust
LiftOff__Replace,pc1,100,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc1,150,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc1,150,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
LiftOff__Replace,pc1,150,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
LiftOff__Replace,pc1,200,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
LiftOff__Replace,pc2,50,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
LiftOff__Replace,pc2,50,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
LiftOff__Replace,pc2,200,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc2,200,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc2,200,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
BothStartLoadPhase__LiftOff,pc1,200,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
BothStartLoadPhase__LiftOff,pc2,100,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
BothStartLoadPhase__LiftOff,pc2,150,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
BothStartLoadPhase__LiftOff,pc2,200,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc2,200,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc2,100,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
FirstDigitTouch__BothStartLoadPhase,pc2,150,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc2,200,O1,Oz,Occipital,Occipital,2.902,True,False,True,False,False
FirstDigitTouch__BothStartLoadPhase,pc2,200,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc1,100,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
HandStart__FirstDigitTouch,pc1,200,PO10,P8,Occipital,Parietal,3.875,True,False,False,True,False
HandStart__FirstDigitTouch,pc2,50,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
HandStart__FirstDigitTouch,pc2,100,O1,Oz,Occipital,Occipital,2.902,True,False,True,False,False
HandStart__FirstDigitTouch,pc2,100,Oz,O1,Occipital,Occipital,2.902,True,False,True,False,False
HandStart__FirstDigitTouch,pc2,150,O1,Oz,Occipital,Occipital,2.902,True,False,True,False,False
HandStart__FirstDigitTouch,pc2,150,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc2,150,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc2,150,Oz,O1,Occipital,Occipital,2.902,True,False,True,False,False
HandStart__FirstDigitTouch,pc2,200,O1,Oz,Occipital,Occipital,2.902,True,False,True,False,False
HandStart__FirstDigitTouch,pc2,200,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc2,200,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc2,200,Oz,O1,Occipital,Occipital,2.902,True,False,True,False,False
LiftOff__Replace,pc1,50,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
LiftOff__Replace,pc1,100,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
LiftOff__Replace,pc2,50,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc2,100,O1,Oz,Occipital,Occipital,2.902,True,False,True,False,False
LiftOff__Replace,pc2,100,Oz,O1,Occipital,Occipital,2.902,True,False,True,False,False
LiftOff__Replace,pc2,150,O1,Oz,Occipital,Occipital,2.902,True,False,False,True,False
LiftOff__Replace,pc2,150,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc2,200,O1,Oz,Occipital,Occipital,2.902,True,False,True,False,False
LiftOff__Replace,pc2,200,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
LiftOff__Replace,pc2,200,Oz,O1,Occipital,Occipital,2.902,True,False,True,False,False
LiftOff__Replace,pc3,50,O1,FC1,Occipital,Frontocentral,17.658,False,False,False,True,True
Replace__BothReleased,pc2,150,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
Replace__BothReleased,pc2,150,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
Replace__BothReleased,pc2,150,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
Replace__BothReleased,pc2,200,O1,Oz,Occipital,Occipital,2.902,True,False,True,False,False
Replace__BothReleased,pc2,200,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
Replace__BothReleased,pc2,200,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
Replace__BothReleased,pc2,200,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc2,50,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc2,150,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
FirstDigitTouch__BothStartLoadPhase,pc2,200,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc1,50,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
LiftOff__Replace,pc1,200,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
Replace__BothReleased,pc2,150,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
BothStartLoadPhase__LiftOff,pc1,200,PO10,P8,Occipital,Parietal,3.875,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc2,100,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc2,100,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
BothStartLoadPhase__LiftOff,pc2,150,O1,Oz,Occipital,Occipital,2.902,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc2,200,O1,Oz,Occipital,Occipital,2.902,True,False,True,False,False
FirstDigitTouch__BothStartLoadPhase,pc2,50,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc2,150,O1,Oz,Occipital,Occipital,2.902,True,False,False,True,False
HandStart__FirstDigitTouch,pc2,50,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc2,50,Oz,O1,Occipital,Occipital,2.902,True,False,False,True,False
LiftOff__Replace,pc1,100,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
LiftOff__Replace,pc1,200,PO10,P8,Occipital,Parietal,3.875,True,False,False,True,False
LiftOff__Replace,pc2,50,O1,Oz,Occipital,Occipital,2.902,True,False,False,True,False
LiftOff__Replace,pc2,100,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
LiftOff__Replace,pc2,100,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc2,100,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
LiftOff__Replace,pc3,150,P8,PO10,Parietal,Occipital,3.875,True,False,False,True,False
Replace__BothReleased,pc2,150,O1,Oz,Occipital,Occipital,2.902,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
Replace__BothReleased,pc1,200,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc1,100,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
BothStartLoadPhase__LiftOff,pc1,150,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
BothStartLoadPhase__LiftOff,pc1,150,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
LiftOff__Replace,pc3,200,P7,O1,Parietal,Occipital,5.758,False,False,False,True,True
BothStartLoadPhase__LiftOff,pc1,50,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
BothStartLoadPhase__LiftOff,pc1,100,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
BothStartLoadPhase__LiftOff,pc1,150,PO10,P8,Occipital,Parietal,3.875,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc2,100,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc2,200,Oz,O1,Occipital,Occipital,2.902,True,False,True,False,False
BothStartLoadPhase__LiftOff,pc3,200,P4,P8,Parietal,Parietal,4.845,False,False,False,True,True
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO10,P8,Occipital,Parietal,3.875,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc2,50,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc2,100,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
FirstDigitTouch__BothStartLoadPhase,pc2,100,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc2,150,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc2,200,Oz,O1,Occipital,Occipital,2.902,True,False,True,False,False
HandStart__FirstDigitTouch,pc1,50,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
HandStart__FirstDigitTouch,pc2,50,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc2,100,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc2,100,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
LiftOff__Replace,pc2,50,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc2,100,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc3,200,P4,P8,Parietal,Parietal,4.845,False,False,False,True,True
Replace__BothReleased,pc1,150,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
Replace__BothReleased,pc1,200,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
Replace__BothReleased,pc2,100,O1,Oz,Occipital,Occipital,2.902,True,False,True,False,False
Replace__BothReleased,pc2,200,Oz,O1,Occipital,Occipital,2.902,True,False,True,False,False
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
Replace__BothReleased,pc1,150,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc2,50,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc3,100,CP6,C4,Parietal,Frontocentral,5.365,False,False,False,True,True
FirstDigitTouch__BothStartLoadPhase,pc2,100,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc3,50,Oz,FC5,Occipital,Frontocentral,17.398,False,False,False,True,True
FirstDigitTouch__BothStartLoadPhase,pc3,100,CP6,C4,Parietal,Frontocentral,5.365,False,False,False,True,True
FirstDigitTouch__BothStartLoadPhase,pc3,200,CP6,C4,Parietal,Frontocentral,5.365,False,False,False,True,True
FirstDigitTouch__BothStartLoadPhase,pc3,200,P4,P8,Parietal,Parietal,4.845,False,False,False,True,True
HandStart__FirstDigitTouch,pc1,150,PO10,P8,Occipital,Parietal,3.875,True,False,False,True,False
HandStart__FirstDigitTouch,pc3,50,O2,Cz,Occipital,Frontocentral,14.441,False,False,False,True,True
HandStart__FirstDigitTouch,pc3,200,P4,P8,Parietal,Parietal,4.845,False,False,False,True,True
HandStart__FirstDigitTouch,pc3,200,P7,O1,Parietal,Occipital,5.758,False,False,False,True,True
LiftOff__Replace,pc3,50,C4,FC2,Frontocentral,Frontocentral,5.422,False,False,False,True,True
LiftOff__Replace,pc3,150,CP6,P8,Parietal,Parietal,3.71,True,False,False,True,False
Replace__BothReleased,pc1,200,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
Replace__BothReleased,pc3,200,P4,P8,Parietal,Parietal,4.845,False,False,False,True,True
LiftOff__Replace,pc3,150,P7,O1,Parietal,Occipital,5.758,False,False,False,True,True
BothStartLoadPhase__LiftOff,pc3,150,P4,P8,Parietal,Parietal,4.845,False,False,False,True,True
HandStart__FirstDigitTouch,pc2,0,O2,Oz,Occipital,Occipital,2.902,True,True,False,True,False
LiftOff__Replace,pc3,100,P7,O1,Parietal,Occipital,5.758,False,False,False,True,True
Replace__BothReleased,pc1,100,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
Replace__BothReleased,pc2,50,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
FirstDigitTouch__BothStartLoadPhase,pc2,100,Oz,O1,Occipital,Occipital,2.902,True,False,True,False,False
FirstDigitTouch__BothStartLoadPhase,pc3,150,P4,P8,Parietal,Parietal,4.845,False,False,False,True,True
HandStart__FirstDigitTouch,pc2,100,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc3,150,P4,P8,Parietal,Parietal,4.845,False,False,False,True,True
Replace__BothReleased,pc1,200,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
Replace__BothReleased,pc2,0,O2,Oz,Occipital,Occipital,2.902,True,True,True,False,False
Replace__BothReleased,pc2,100,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
BothStartLoadPhase__LiftOff,pc3,200,CP6,C4,Parietal,Frontocentral,5.365,False,False,False,True,True
Replace__BothReleased,pc1,0,PO9,O1,Occipital,Occipital,2.892,True,True,False,True,False
Replace__BothReleased,pc1,50,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc1,50,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
BothStartLoadPhase__LiftOff,pc2,0,O2,Oz,Occipital,Occipital,2.902,True,True,True,False,False
BothStartLoadPhase__LiftOff,pc2,0,Oz,O2,Occipital,Occipital,2.902,True,True,True,False,False
BothStartLoadPhase__LiftOff,pc2,100,O1,Oz,Occipital,Occipital,2.902,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc2,0,O2,Oz,Occipital,Occipital,2.902,True,True,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc2,100,O1,Oz,Occipital,Occipital,2.902,True,False,True,False,False
FirstDigitTouch__BothStartLoadPhase,pc3,200,Oz,FC5,Occipital,Frontocentral,17.398,False,False,False,True,True
HandStart__FirstDigitTouch,pc1,50,PO10,P8,Occipital,Parietal,3.875,True,False,False,True,False
HandStart__FirstDigitTouch,pc3,50,O1,FC1,Occipital,Frontocentral,17.658,False,False,False,True,True
HandStart__FirstDigitTouch,pc3,100,CP6,C4,Parietal,Frontocentral,5.365,False,False,False,True,True
LiftOff__Replace,pc3,200,P4,CP6,Parietal,Parietal,6.149,False,False,False,True,True
Replace__BothReleased,pc1,150,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
Replace__BothReleased,pc2,0,Oz,O2,Occipital,Occipital,2.902,True,True,True,False,False
Replace__BothReleased,pc2,50,O1,Oz,Occipital,Occipital,2.902,True,False,False,True,False
Replace__BothReleased,pc2,50,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
Replace__BothReleased,pc2,100,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
Replace__BothReleased,pc2,100,Oz,O1,Occipital,Occipital,2.902,True,False,True,False,False
BothStartLoadPhase__LiftOff,pc1,0,PO9,O1,Occipital,Occipital,2.892,True,True,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc1,0,PO9,O1,Occipital,Occipital,2.892,True,True,False,True,False
HandStart__FirstDigitTouch,pc3,150,P4,P8,Parietal,Parietal,4.845,False,False,False,True,True
LiftOff__Replace,pc3,100,P4,P8,Parietal,Parietal,4.845,False,False,False,True,True
Replace__BothReleased,pc1,100,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
Replace__BothReleased,pc1,150,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
Replace__BothReleased,pc3,200,P7,O1,Parietal,Occipital,5.758,False,False,False,True,True
BothStartLoadPhase__LiftOff,pc1,0,PO10,P8,Occipital,Parietal,3.875,True,True,False,True,False
BothStartLoadPhase__LiftOff,pc1,100,PO10,P8,Occipital,Parietal,3.875,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc2,0,O1,Oz,Occipital,Occipital,2.902,True,True,True,False,False
BothStartLoadPhase__LiftOff,pc2,0,Oz,O1,Occipital,Occipital,2.902,True,True,True,False,False
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO10,P8,Occipital,Parietal,3.875,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc2,0,O1,Oz,Occipital,Occipital,2.902,True,True,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc3,50,P4,P8,Parietal,Parietal,4.845,False,False,False,True,True
HandStart__FirstDigitTouch,pc1,0,PO10,P8,Occipital,Parietal,3.875,True,True,False,True,False
Replace__BothReleased,pc1,0,PO10,O2,Occipital,Occipital,2.892,True,True,False,True,False
Replace__BothReleased,pc1,50,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
Replace__BothReleased,pc1,100,Fp2,Fp1,Frontal,Frontal,5.804,False,False,False,True,True
Replace__BothReleased,pc2,50,O1,PO9,Occipital,Occipital,2.892,True,False,False,True,False
Replace__BothReleased,pc2,50,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
BothStartLoadPhase__LiftOff,pc3,50,P4,P8,Parietal,Parietal,4.845,False,False,False,True,True
FirstDigitTouch__BothStartLoadPhase,pc3,50,C4,FC2,Frontocentral,Frontocentral,5.422,False,False,False,True,True
Replace__BothReleased,pc1,100,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
BothStartLoadPhase__LiftOff,pc3,200,Oz,FC5,Occipital,Frontocentral,17.398,False,False,False,True,True
HandStart__FirstDigitTouch,pc2,0,O1,Oz,Occipital,Occipital,2.902,True,True,False,True,False
LiftOff__Replace,pc2,0,O1,PO9,Occipital,Occipital,2.892,True,True,False,True,False
LiftOff__Replace,pc3,50,P7,O1,Parietal,Occipital,5.758,False,False,False,True,True
