phase,pc,lag_ms,src,dst,region_src,region_dst,k,n_subjects,total_subjects_in_dir,p_value,q_value,significant
FirstDigitTouch__BothStartLoadPhase,pc1,50,T7,TP9,Temporal,Temporal,5,12,12,0.004484084738993281,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,50,FC2,Cz,Frontocentral,Frontocentral,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,50,CP2,Cz,Parietal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,150,Fp2,Pz,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,150,F7,FC5,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,200,F8,FC6,Frontal,Frontocentral,6,12,12,0.0005654110912547203,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,200,Pz,CP1,Parietal,Parietal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,200,TP10,T8,Temporal,Temporal,5,12,12,0.004484084738993281,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,200,F7,FC5,Frontal,Frontocentral,9,12,12,1.7784181199405136e-07,0.001890204401765346,True
FirstDigitTouch__BothStartLoadPhase,pc1,200,CP1,Cz,Parietal,Frontocentral,5,12,12,0.004484084738993281,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,200,Fp2,P3,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,0,FC1,Fp1,Frontocentral,Frontal,6,12,12,0.0005654110912547203,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,0,CP2,Fp1,Parietal,Frontal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,0,O2,Fp2,Occipital,Frontal,5,12,12,0.004484084738993281,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,0,Oz,Fp2,Occipital,Frontal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,0,Fp2,Fp1,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,50,Oz,O1,Occipital,Occipital,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,50,Oz,O2,Occipital,Occipital,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,50,O2,Oz,Occipital,Occipital,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,150,Fp2,P3,Frontal,Parietal,5,12,12,0.004484084738993281,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,150,Fp2,CP5,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp1,P7,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp1,F3,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp1,P8,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp1,P4,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp2,P7,Frontal,Parietal,5,12,12,0.004484084738993281,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp2,CP5,Frontal,Parietal,5,12,12,0.004484084738993281,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp2,Fp1,Frontal,Frontal,6,12,12,0.0005654110912547203,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp2,F4,Frontal,Frontocentral,5,12,12,0.004484084738993281,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp1,Fp2,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp2,O1,Frontal,Occipital,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc3,0,O1,PO9,Occipital,Occipital,5,12,12,0.004484084738993281,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc3,0,Fp1,F7,Frontal,Frontal,6,12,12,0.0005654110912547203,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc3,0,Fp2,F7,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc3,0,F3,F7,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc3,50,O2,PO10,Occipital,Occipital,5,12,12,0.004484084738993281,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc3,50,Fp1,F7,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc3,50,P4,Oz,Parietal,Occipital,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc3,50,P3,O1,Parietal,Occipital,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc3,100,Fp1,Fp2,Frontal,Frontal,5,12,12,0.004484084738993281,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc3,150,Fz,P7,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc3,150,Fp2,Fp1,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc3,200,Fp1,F4,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc1,0,F7,Fp1,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc1,0,FC5,F7,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc1,0,F3,Fp1,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc1,0,P4,Fp1,Parietal,Frontal,5,12,12,0.004484084738993281,1.0,False
HandStart__FirstDigitTouch,pc1,50,FC1,Fz,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc1,50,P4,CP2,Parietal,Parietal,5,12,12,0.004484084738993281,1.0,False
HandStart__FirstDigitTouch,pc1,50,Pz,CP2,Parietal,Parietal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc1,50,Cz,FC1,Frontocentral,Frontocentral,5,12,12,0.004484084738993281,1.0,False
HandStart__FirstDigitTouch,pc1,50,FC2,Fz,Frontocentral,Frontal,5,12,12,0.004484084738993281,1.0,False
HandStart__FirstDigitTouch,pc1,200,F8,FC6,Frontal,Frontocentral,5,12,12,0.004484084738993281,1.0,False
HandStart__FirstDigitTouch,pc1,200,F7,FC5,Frontal,Frontocentral,5,12,12,0.004484084738993281,1.0,False
HandStart__FirstDigitTouch,pc1,200,TP10,T8,Temporal,Temporal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc1,200,CP1,Cz,Parietal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc2,0,Fp2,F4,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc2,0,FC1,Fp1,Frontocentral,Frontal,6,12,12,0.0005654110912547203,1.0,False
HandStart__FirstDigitTouch,pc2,0,F3,Fp2,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc2,0,Oz,Fp2,Occipital,Frontal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc2,0,O2,Fp2,Occipital,Frontal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc2,0,FC2,Fp1,Frontocentral,Frontal,5,12,12,0.004484084738993281,1.0,False
HandStart__FirstDigitTouch,pc2,50,Oz,Fp1,Occipital,Frontal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc2,50,Fp2,F4,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc2,50,F3,Fp2,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc2,50,FC1,Fp1,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc2,100,O1,Fp1,Occipital,Frontal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc2,100,FC2,Fp1,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc2,200,Fp1,P7,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc2,200,Fp2,P7,Frontal,Parietal,5,12,12,0.004484084738993281,1.0,False
HandStart__FirstDigitTouch,pc2,200,Fp1,F3,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc2,200,Fp2,Fp1,Frontal,Frontal,7,12,12,5.2879037178301744e-05,0.24588752287910312,False
HandStart__FirstDigitTouch,pc2,200,Fp1,Fp2,Frontal,Frontal,5,12,12,0.004484084738993281,1.0,False
HandStart__FirstDigitTouch,pc2,200,Fp2,F4,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc2,200,Fp2,P3,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc3,0,Fp1,F7,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc3,0,P7,PO10,Parietal,Occipital,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc3,0,TP10,PO10,Temporal,Occipital,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc3,0,Fp2,F7,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc3,50,P8,PO10,Parietal,Occipital,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc3,50,Fz,O2,Frontal,Occipital,4,12,12,0.026330690325135755,1.0,False
HandStart__FirstDigitTouch,pc3,50,P4,Oz,Parietal,Occipital,5,12,12,0.004484084738993281,1.0,False
HandStart__FirstDigitTouch,pc3,50,Fz,Oz,Frontal,Occipital,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc1,0,FC5,F3,Frontocentral,Frontocentral,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc1,0,FC5,F7,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc1,0,FC2,Fz,Frontocentral,Frontal,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc1,0,FC1,Fz,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc1,50,CP2,Pz,Parietal,Parietal,6,12,12,0.0005654110912547203,1.0,False
LiftOff__Replace,pc1,50,P4,Pz,Parietal,Parietal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc1,50,FC1,Fz,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc1,50,CP1,Pz,Parietal,Parietal,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc1,50,FC2,Fz,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc1,50,Pz,CP1,Parietal,Parietal,7,12,12,5.2879037178301744e-05,0.24588752287910312,False
LiftOff__Replace,pc1,50,Pz,CP2,Parietal,Parietal,9,12,12,1.7784181199405136e-07,0.001890204401765346,True
LiftOff__Replace,pc1,50,P4,CP2,Parietal,Parietal,7,12,12,5.2879037178301744e-05,0.24588752287910312,False
LiftOff__Replace,pc1,50,Cz,FC2,Frontocentral,Frontocentral,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc1,50,CP1,Cz,Parietal,Frontocentral,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc1,50,CP2,Cz,Parietal,Frontocentral,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc1,100,TP10,T8,Temporal,Temporal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc1,100,F8,FC6,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc1,100,Pz,CP2,Parietal,Parietal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc1,150,TP10,T8,Temporal,Temporal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc1,150,F8,FC6,Frontal,Frontocentral,6,12,12,0.0005654110912547203,1.0,False
LiftOff__Replace,pc1,200,TP10,T8,Temporal,Temporal,8,12,12,3.6286796437323756e-06,0.026997376549368873,True
LiftOff__Replace,pc1,200,F7,FC5,Frontal,Frontocentral,6,12,12,0.0005654110912547203,1.0,False
LiftOff__Replace,pc1,200,F8,FC6,Frontal,Frontocentral,8,12,12,3.6286796437323756e-06,0.026997376549368873,True
LiftOff__Replace,pc1,200,CP1,Cz,Parietal,Frontocentral,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc1,200,Pz,CP2,Parietal,Parietal,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc1,200,CP1,Pz,Parietal,Parietal,6,12,12,0.0005654110912547203,1.0,False
LiftOff__Replace,pc1,200,CP2,Pz,Parietal,Parietal,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc2,0,F3,Fp2,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc2,0,FC1,Fp1,Frontocentral,Frontal,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc2,0,Pz,Fp2,Parietal,Frontal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc2,0,FC2,Fp1,Frontocentral,Frontal,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc2,0,Oz,Fp2,Occipital,Frontal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc2,0,Oz,Fp1,Occipital,Frontal,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc2,50,Fp1,Pz,Frontal,Parietal,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc2,50,Fp1,P4,Frontal,Parietal,6,12,12,0.0005654110912547203,1.0,False
LiftOff__Replace,pc2,50,Fp2,P4,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc2,50,Fp2,Pz,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc2,50,Fp1,FC5,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc2,100,Fp1,FC1,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc2,150,F8,T8,Frontal,Temporal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc2,150,Fp2,F4,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc2,200,F7,FC5,Frontal,Frontocentral,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc2,200,F8,T8,Frontal,Temporal,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc2,200,Fp2,F4,Frontal,Frontocentral,6,12,12,0.0005654110912547203,1.0,False
LiftOff__Replace,pc2,200,Fp2,P3,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc2,200,Fp1,F3,Frontal,Frontocentral,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc2,200,CP1,T8,Parietal,Temporal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc2,200,Fp1,P4,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc3,0,O1,PO9,Occipital,Occipital,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc3,0,Fp1,F4,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc3,0,Fp1,F7,Frontal,Frontal,6,12,12,0.0005654110912547203,1.0,False
LiftOff__Replace,pc3,0,F3,F7,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc3,50,Fp1,F4,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc3,50,CP1,Pz,Parietal,Parietal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc3,50,Fp1,F7,Frontal,Frontal,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc3,50,P8,PO10,Parietal,Occipital,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc3,50,O2,PO10,Occipital,Occipital,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc3,50,Fz,O2,Frontal,Occipital,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc3,50,P3,Oz,Parietal,Occipital,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc3,50,P3,O1,Parietal,Occipital,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc3,50,Fp2,F8,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc3,200,F4,PO10,Frontocentral,Occipital,5,12,12,0.004484084738993281,1.0,False
LiftOff__Replace,pc3,200,F3,PO10,Frontocentral,Occipital,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc3,200,TP9,PO9,Temporal,Occipital,4,12,12,0.026330690325135755,1.0,False
LiftOff__Replace,pc3,200,Oz,P8,Occipital,Parietal,6,12,12,0.0005654110912547203,1.0,False
LiftOff__Replace,pc3,200,CP1,TP10,Parietal,Temporal,5,12,12,0.004484084738993281,1.0,False
Replace__BothReleased,pc1,0,Fp1,T8,Frontal,Temporal,5,12,12,0.004484084738993281,1.0,False
Replace__BothReleased,pc1,0,Fp1,P8,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
Replace__BothReleased,pc1,0,Fp1,PO10,Frontal,Occipital,4,12,12,0.026330690325135755,1.0,False
Replace__BothReleased,pc1,0,Fp1,PO9,Frontal,Occipital,6,12,12,0.0005654110912547203,1.0,False
Replace__BothReleased,pc1,0,Fp2,P7,Frontal,Parietal,5,12,12,0.004484084738993281,1.0,False
Replace__BothReleased,pc1,0,Fp1,P7,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
Replace__BothReleased,pc1,0,Fp2,PO9,Frontal,Occipital,5,12,12,0.004484084738993281,1.0,False
Replace__BothReleased,pc1,50,Fp2,O1,Frontal,Occipital,4,12,12,0.026330690325135755,1.0,False
Replace__BothReleased,pc1,50,Fp2,O2,Frontal,Occipital,4,12,12,0.026330690325135755,1.0,False
Replace__BothReleased,pc1,100,P3,Fp1,Parietal,Frontal,4,12,12,0.026330690325135755,1.0,False
Replace__BothReleased,pc1,100,F7,Fp1,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
Replace__BothReleased,pc1,150,Fp2,F4,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
Replace__BothReleased,pc1,200,Fp1,PO9,Frontal,Occipital,5,12,12,0.004484084738993281,1.0,False
Replace__BothReleased,pc1,200,Fp2,F4,Frontal,Frontocentral,8,12,12,3.6286796437323756e-06,0.026997376549368873,True
Replace__BothReleased,pc1,200,Fp2,PO9,Frontal,Occipital,5,12,12,0.004484084738993281,1.0,False
Replace__BothReleased,pc1,200,Fp2,P7,Frontal,Parietal,5,12,12,0.004484084738993281,1.0,False
