phase,pc,lag_ms,src,dst,region_src,region_dst,config_count,successful_config_count,stability_fraction,max_k,max_n_subjects,min_p_value,min_q_value,topk_values,min_subjects_values,p0_inflate_values
BothStartLoadPhase__LiftOff,pc2,200,Fp1,F3,Frontal,Frontocentral,20,27,0.7407407407407407,7,12,7.948737705520244e-06,3.7518041970055546e-05,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc1,50,P4,CP2,Parietal,Parietal,20,27,0.7407407407407407,7,12,7.948737705520244e-06,3.7518041970055546e-05,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,50,CP1,Cz,Parietal,Frontocentral,20,27,0.7407407407407407,7,12,7.948737705520244e-06,3.7518041970055546e-05,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,200,CP2,Pz,Parietal,Parietal,20,27,0.7407407407407407,7,12,7.948737705520244e-06,3.7518041970055546e-05,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc2,200,F7,FC5,Other,Frontocentral,20,27,0.7407407407407407,7,12,7.948737705520244e-06,3.7518041970055546e-05,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc2,50,F7,Fp2,Other,Frontal,20,27,0.7407407407407407,7,12,7.948737705520244e-06,3.7518041970055546e-05,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc2,0,FC1,Fp1,Frontocentral,Frontal,20,27,0.7407407407407407,6,12,1.1631110694196138e-05,3.1403998874329574e-05,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp2,Fp1,Frontal,Frontal,20,27,0.7407407407407407,6,12,1.1631110694196138e-05,3.1403998874329574e-05,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,150,F8,FC6,Other,Frontocentral,20,27,0.7407407407407407,6,12,1.1631110694196138e-05,3.1403998874329574e-05,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc2,50,Fp1,P4,Frontal,Parietal,20,27,0.7407407407407407,6,12,1.1631110694196138e-05,3.1403998874329574e-05,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,200,Oz,P8,Occipital,Parietal,20,27,0.7407407407407407,6,12,1.1631110694196138e-05,3.1403998874329574e-05,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc1,0,Fp1,PO9,Frontal,Occipital,19,27,0.7037037037037037,10,12,3.4930855940150567e-10,2.0609205004688836e-08,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,50,P4,CP2,Parietal,Parietal,19,27,0.7037037037037037,8,12,4.0023808014420435e-07,3.5272891748982306e-06,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc2,200,Fp2,F4,Frontal,Frontocentral,19,27,0.7037037037037037,6,12,0.00011562389125060647,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc1,200,F7,FC5,Other,Frontocentral,19,27,0.7037037037037037,6,12,0.00011562389125060647,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc2,0,FC1,Fp1,Frontocentral,Frontal,19,27,0.7037037037037037,6,12,0.00011562389125060647,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,200,CP1,TP10,Parietal,Temporal,19,27,0.7037037037037037,6,12,0.00011562389125060647,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,200,F4,PO10,Frontocentral,Occipital,19,27,0.7037037037037037,6,12,0.00011562389125060647,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc1,0,Fp1,T8,Frontal,Temporal,19,27,0.7037037037037037,6,12,0.00011562389125060647,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,50,CP2,Pz,Parietal,Parietal,18,27,0.6666666666666666,8,12,4.0023808014420435e-07,4.497913662572963e-06,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc1,50,FC2,Fz,Frontocentral,Frontal,17,27,0.6296296296296297,8,12,4.0023808014420435e-07,4.497913662572963e-06,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,200,TP10,T8,Temporal,Temporal,17,27,0.6296296296296297,5,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc2,200,Fp2,CP5,Frontal,Parietal,17,27,0.6296296296296297,5,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc3,0,O1,PO9,Occipital,Occipital,17,27,0.6296296296296297,5,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,0,F3,Fp1,Frontocentral,Frontal,17,27,0.6296296296296297,5,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,200,TP10,T8,Temporal,Temporal,17,27,0.6296296296296297,5,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc1,0,P4,Fp1,Parietal,Frontal,17,27,0.6296296296296297,5,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,0,O1,PO9,Occipital,Occipital,17,27,0.6296296296296297,5,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,50,Fp1,F7,Frontal,Other,17,27,0.6296296296296297,5,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc1,200,Fp2,PO9,Frontal,Occipital,17,27,0.6296296296296297,5,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc2,0,F3,Fp2,Frontocentral,Frontal,17,27,0.6296296296296297,5,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc3,150,Fp1,P3,Frontal,Parietal,17,27,0.6296296296296297,5,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,50,Pz,CP2,Parietal,Parietal,16,27,0.5925925925925926,7,12,7.948737705520244e-06,3.7518041970055546e-05,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp2,F4,Frontal,Frontocentral,16,27,0.5925925925925926,7,12,7.948737705520244e-06,3.7518041970055546e-05,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,0,P4,Fp1,Parietal,Frontal,16,27,0.5925925925925926,6,12,1.1631110694196138e-05,3.1403998874329574e-05,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc3,0,Fp1,F7,Frontal,Other,16,27,0.5925925925925926,6,12,1.1631110694196138e-05,3.1403998874329574e-05,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc3,0,Fp1,F7,Frontal,Other,16,27,0.5925925925925926,6,12,1.1631110694196138e-05,3.1403998874329574e-05,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc1,0,Fp2,P7,Frontal,Parietal,15,27,0.5555555555555556,8,12,4.0023808014420435e-07,4.497913662572963e-06,10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc1,0,Fp2,PO9,Frontal,Occipital,15,27,0.5555555555555556,8,12,4.0023808014420435e-07,4.497913662572963e-06,10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,200,CP1,Cz,Parietal,Frontocentral,15,27,0.5555555555555556,7,12,7.948737705520244e-06,3.1403998874329574e-05,10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc2,150,F3,Fp1,Frontocentral,Frontal,15,27,0.5555555555555556,6,12,0.00011562389125060647,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,50,Pz,CP1,Parietal,Parietal,15,27,0.5555555555555556,6,12,0.00011562389125060647,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc3,50,O2,PO10,Occipital,Occipital,15,27,0.5555555555555556,6,12,0.00011562389125060647,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,200,CP1,Cz,Parietal,Frontocentral,15,27,0.5555555555555556,6,12,0.00011562389125060647,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,200,Pz,CP2,Parietal,Parietal,15,27,0.5555555555555556,6,12,0.00011562389125060647,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc2,50,Fp1,Pz,Frontal,Parietal,15,27,0.5555555555555556,6,12,0.00011562389125060647,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,50,O2,PO10,Occipital,Occipital,15,27,0.5555555555555556,6,12,0.00011562389125060647,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc2,200,Fp2,P7,Frontal,Parietal,14,27,0.5185185185185185,6,12,1.1631110694196138e-05,3.1403998874329574e-05,10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,0,P4,Fp1,Parietal,Frontal,14,27,0.5185185185185185,6,12,1.1631110694196138e-05,3.1403998874329574e-05,10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc2,0,O2,Fp2,Occipital,Frontal,13,27,0.48148148148148145,6,12,0.00011562389125060647,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,50,T7,TP9,Temporal,Temporal,13,27,0.48148148148148145,6,12,0.00011562389125060647,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc2,150,Fp2,P3,Frontal,Parietal,13,27,0.48148148148148145,6,12,0.00011562389125060647,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc3,50,O2,PO10,Occipital,Occipital,13,27,0.48148148148148145,6,12,0.00011562389125060647,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc1,50,Cz,FC1,Frontocentral,Frontocentral,13,27,0.48148148148148145,6,12,0.00011562389125060647,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,0,FC2,Fz,Frontocentral,Frontal,13,27,0.48148148148148145,6,12,0.00011562389125060647,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,50,CP1,Pz,Parietal,Parietal,13,27,0.48148148148148145,6,12,0.00011562389125060647,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc2,0,FC2,Fp1,Frontocentral,Frontal,13,27,0.48148148148148145,6,12,0.00011562389125060647,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc2,200,F8,T8,Other,Temporal,13,27,0.48148148148148145,6,12,0.00011562389125060647,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc2,200,Fp1,F3,Frontal,Frontocentral,13,27,0.48148148148148145,6,12,0.00011562389125060647,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc1,200,Fp2,P7,Frontal,Parietal,13,27,0.48148148148148145,6,12,0.00011562389125060647,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,0,FC5,F7,Frontocentral,Other,13,27,0.48148148148148145,5,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc3,0,Fp1,F7,Frontal,Other,13,27,0.48148148148148145,5,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,0,F3,F7,Frontocentral,Other,13,27,0.48148148148148145,5,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc3,150,Fp2,P3,Frontal,Parietal,13,27,0.48148148148148145,5,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,0,F3,Fp1,Frontocentral,Frontal,13,27,0.48148148148148145,5,12,0.00019101831309747746,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,150,Fz,FC1,Frontal,Frontocentral,13,27,0.48148148148148145,5,12,0.00019101831309747746,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp2,CP5,Frontal,Parietal,13,27,0.48148148148148145,5,12,0.00019101831309747746,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc3,100,Fp1,Fp2,Frontal,Frontal,13,27,0.48148148148148145,5,12,0.00019101831309747746,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc2,200,Fp1,Fp2,Frontal,Frontal,13,27,0.48148148148148145,5,12,0.00019101831309747746,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc2,200,Fp2,P7,Frontal,Parietal,13,27,0.48148148148148145,5,12,0.00019101831309747746,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,50,CP2,Cz,Parietal,Frontocentral,13,27,0.48148148148148145,5,12,0.00019101831309747746,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc1,200,Fp1,PO9,Frontal,Occipital,13,27,0.48148148148148145,5,12,0.00019101831309747746,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc2,50,F3,Fp2,Frontocentral,Frontal,13,27,0.48148148148148145,5,12,0.00019101831309747746,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc2,150,F4,Fp2,Frontocentral,Frontal,13,27,0.48148148148148145,5,12,0.00019101831309747746,0.00019101831309747746,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,50,CP1,Cz,Parietal,Frontocentral,12,27,0.4444444444444444,7,12,7.948737705520244e-06,3.7518041970055546e-05,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp1,F3,Frontal,Frontocentral,12,27,0.4444444444444444,7,12,7.948737705520244e-06,3.7518041970055546e-05,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc3,50,Fz,O2,Frontal,Occipital,12,27,0.4444444444444444,7,12,7.948737705520244e-06,3.7518041970055546e-05,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,50,Fz,O2,Frontal,Occipital,12,27,0.4444444444444444,7,12,7.948737705520244e-06,3.7518041970055546e-05,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc3,200,Fp1,F4,Frontal,Frontocentral,11,27,0.4074074074074074,6,12,0.00011562389125060647,0.0002503416361022305,5 10 15,3 4 5,5.0 10.0
HandStart__FirstDigitTouch,pc1,50,FC1,Fz,Frontocentral,Frontal,11,27,0.4074074074074074,6,12,0.00011562389125060647,0.0002503416361022305,5 10 15,3 4 5,5.0 10.0
BothStartLoadPhase__LiftOff,pc1,50,P4,CP2,Parietal,Parietal,11,27,0.4074074074074074,5,12,0.00019101831309747746,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc2,0,O2,Fp2,Occipital,Frontal,11,27,0.4074074074074074,5,12,0.00019101831309747746,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp2,P7,Frontal,Parietal,11,27,0.4074074074074074,5,12,0.00019101831309747746,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc3,0,O1,PO9,Occipital,Occipital,11,27,0.4074074074074074,5,12,0.00019101831309747746,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc2,0,FC2,Fp1,Frontocentral,Frontal,11,27,0.4074074074074074,5,12,0.00019101831309747746,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc3,50,P4,Oz,Parietal,Occipital,11,27,0.4074074074074074,5,12,0.00019101831309747746,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,200,CP1,Cz,Parietal,Frontocentral,11,27,0.4074074074074074,5,12,0.00019101831309747746,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc2,0,Oz,Fp1,Occipital,Frontal,11,27,0.4074074074074074,5,12,0.00019101831309747746,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,50,P3,Oz,Parietal,Occipital,11,27,0.4074074074074074,5,12,0.00019101831309747746,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc2,150,Fz,Fp2,Frontal,Frontal,11,27,0.4074074074074074,5,12,0.00019101831309747746,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc3,0,CP2,Pz,Parietal,Parietal,11,27,0.4074074074074074,5,12,0.00019101831309747746,0.00019101831309747746,10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc3,50,Fp2,Fp1,Frontal,Frontal,11,27,0.4074074074074074,4,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc3,100,Fp2,Fp1,Frontal,Frontal,11,27,0.4074074074074074,4,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,0,FC5,F7,Frontocentral,Other,11,27,0.4074074074074074,4,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc2,50,FC1,Fp1,Frontocentral,Frontal,11,27,0.4074074074074074,4,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc3,0,P7,PO10,Parietal,Occipital,11,27,0.4074074074074074,4,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4,5.0 10.0 15.0
LiftOff__Replace,pc1,0,FC5,F7,Frontocentral,Other,11,27,0.4074074074074074,4,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4,5.0 10.0 15.0
LiftOff__Replace,pc1,100,F8,FC6,Other,Frontocentral,11,27,0.4074074074074074,4,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4,5.0 10.0 15.0
LiftOff__Replace,pc2,50,Fp1,FC5,Frontal,Frontocentral,11,27,0.4074074074074074,4,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4,5.0 10.0 15.0
LiftOff__Replace,pc3,0,Fp1,F4,Frontal,Frontocentral,11,27,0.4074074074074074,4,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4,5.0 10.0 15.0
Replace__BothReleased,pc1,150,Fp2,F4,Frontal,Frontocentral,11,27,0.4074074074074074,4,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4,5.0 10.0 15.0
Replace__BothReleased,pc2,100,Fp1,Fp2,Frontal,Frontal,11,27,0.4074074074074074,4,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4,5.0 10.0 15.0
Replace__BothReleased,pc3,150,Fp2,Pz,Frontal,Parietal,11,27,0.4074074074074074,4,12,0.00016973510588022393,0.00016973510588022393,5 10 15,3 4,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,50,Cz,FC1,Frontocentral,Frontocentral,10,27,0.37037037037037035,7,12,7.948737705520244e-06,3.7518041970055546e-05,10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc2,200,Fp1,F3,Frontal,Frontocentral,10,27,0.37037037037037035,7,12,7.948737705520244e-06,3.7518041970055546e-05,10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc1,0,Fp1,P7,Frontal,Parietal,10,27,0.37037037037037035,7,12,7.948737705520244e-06,3.7518041970055546e-05,10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc2,150,Fp2,P3,Frontal,Parietal,9,27,0.3333333333333333,6,12,0.00011562389125060647,0.0002503416361022305,10 15,3 4 5,5.0 10.0
BothStartLoadPhase__LiftOff,pc2,200,Fp1,P3,Frontal,Parietal,9,27,0.3333333333333333,6,12,0.00011562389125060647,0.0002503416361022305,10 15,3 4 5,5.0 10.0
FirstDigitTouch__BothStartLoadPhase,pc1,50,FC2,Fz,Frontocentral,Frontal,9,27,0.3333333333333333,6,12,0.00011562389125060647,0.0002503416361022305,10 15,3 4 5,5.0 10.0
FirstDigitTouch__BothStartLoadPhase,pc1,200,Pz,CP1,Parietal,Parietal,9,27,0.3333333333333333,6,12,0.00011562389125060647,0.0002503416361022305,10 15,3 4 5,5.0 10.0
